0,53,16,46,20,42,26,39,34,38,41,38,49,38,57,42,65,47,69,54,71,64,72,69,66,72,62,74,53,74,45,72,36,70,29,66,21,60,16,51,17
1,31,34,33,35,39,33,46,29,50,28,54,26,58,22,60,23,59,30,57,36,56,41,55,45,55,49,54,52,54,57,53,64,53,68,53,72,52,76,52,74
2,31,26,35,22,40,18,46,18,51,19,56,24,59,30,60,35,60,43,53,50,47,55,41,59,36,63,31,66,34,69,44,69,51,69,59,70,65,70,67,69
3,36,20,44,18,51,19,57,22,60,27,61,32,60,39,53,46,41,47,45,48,55,48,59,51,59,59,57,65,54,70,47,76,40,80,32,81,26,80,25,74
4,55,11,53,16,48,24,44,32,42,38,41,44,39,50,42,55,52,58,66,58,73,58,76,58,72,49,69,44,64,40,61,49,58,59,56,68,54,74,53,70
5,65,17,55,18,45,18,39,17,35,21,34,27,36,35,36,45,39,47,52,44,58,44,64,49,67,53,69,59,67,66,61,71,52,76,44,78,35,75,32,70
6,66,19,59,21,51,28,47,32,43,39,40,47,38,52,37,59,37,67,37,73,41,77,47,80,54,80,60,76,61,71,61,64,58,55,53,51,47,51,40,51
7,28,21,35,21,42,22,49,23,56,24,62,24,65,24,68,24,68,26,65,29,61,35,57,41,54,46,52,51,50,54,48,59,46,64,44,70,43,75,43,70
8,59,19,51,18,39,19,32,26,29,34,31,45,42,49,51,55,56,61,56,71,47,83,33,84,27,79,23,68,34,55,43,48,50,41,55,33,57,22,50,17
9,56,24,50,16,38,16,31,22,29,30,31,37,39,43,49,45,58,39,60,30,57,30,53,41,52,51,50,62,47,72,42,82,37,89,29,90,23,80,24,71
0,50,20,42,23,37,29,33,37,31,46,31,55,31,61,34,67,40,74,47,78,54,80,61,78,66,72,67,66,69,57,67,48,63,41,58,33,53,28,47,25
1,24,43,27,42,33,39,40,34,45,29,47,25,49,22,51,20,49,27,47,34,46,41,45,50,45,55,44,60,44,64,44,68,44,72,44,77,44,82,43,80
2,28,29,34,25,41,22,49,22,56,22,61,24,64,28,64,34,63,40,57,49,52,55,47,60,42,63,36,67,33,71,41,71,50,71,62,71,69,70,71,65
3,36,19,46,13,56,12,65,13,72,18,73,25,69,37,59,42,52,43,65,43,69,47,72,53,71,61,68,69,63,75,55,79,42,80,34,76,31,70,35,66
4,54,17,45,24,38,31,32,38,29,43,27,48,32,52,42,54,54,55,63,55,66,49,61,38,56,36,48,42,43,52,41,59,41,65,41,71,40,77,38,77
5,57,17,45,16,38,16,31,15,27,19,26,30,26,39,35,39,47,37,55,38,61,42,62,48,61,55,60,62,55,67,47,72,36,74,29,73,22,71,20,65
6,66,15,58,18,51,22,42,30,35,40,32,45,30,53,29,63,31,68,38,69,46,70,52,71,58,67,62,64,64,57,65,51,60,46,51,43,44,41,39,42
7,30,18,35,18,43,18,53,18,58,19,64,19,68,17,68,19,65,24,60,32,56,42,52,50,51,54,50,58,49,65,47,72,47,77,47,82,47,80,48,75
